SortType, ArrayType, ArraySize, AverageTime
selectionSort2, Unsorted, 50000, 13.2996, 
insertionSort, Unsorted, 50000, 0.0082, 
insertionSort2, Unsorted, 50000, 0.003, 
mergeSort, Unsorted, 50000, 0.0078000003, 
mergeSort2, Unsorted, 50000, 0.0074, 
quickSort, Unsorted, 50000, 0.0086, 
quickSort2, Unsorted, 50000, 0.0076, 
Array.sort, Unsorted, 50000, 0.0042, 
selectionSort, Sorted, 50000, 9.3464, 
selectionSort2, Sorted, 50000, 13.3686, 
insertionSort, Sorted, 50000, 0.008, 
insertionSort2, Sorted, 50000, 0.003, 
mergeSort, Sorted, 50000, 0.007, 
mergeSort2, Sorted, 50000, 0.006, 
quickSort, Sorted, 50000, 0.0088, 
quickSort2, Sorted, 50000, 0.0078000003, 
Array.sort, Sorted, 50000, 0.0038, 
selectionSort, Reversed, 50000, 10.438, 
selectionSort2, Reversed, 50000, 13.338401, 
insertionSort, Reversed, 50000, 0.009, 
insertionSort2, Reversed, 50000, 0.004, 
mergeSort, Reversed, 50000, 0.0088, 
mergeSort2, Reversed, 50000, 0.008, 
quickSort, Reversed, 50000, 0.0098, 
quickSort2, Reversed, 50000, 0.009, 
Array.sort, Reversed, 50000, 0.003, 
selectionSort, Unsorted, 60000, 15.8478, 
selectionSort2, Unsorted, 60000, 15.6034, 
insertionSort, Unsorted, 60000, 0.0098, 
insertionSort2, Unsorted, 60000, 0.0042, 
mergeSort, Unsorted, 60000, 0.0082, 
mergeSort2, Unsorted, 60000, 0.0082, 
quickSort, Unsorted, 60000, 0.0108, 
quickSort2, Unsorted, 60000, 0.0096, 
Array.sort, Unsorted, 60000, 0.0042, 
selectionSort, Sorted, 60000, 13.8186, 
selectionSort2, Sorted, 60000, 15.6062, 
insertionSort, Sorted, 60000, 0.01, 
insertionSort2, Sorted, 60000, 0.0038, 
mergeSort, Sorted, 60000, 0.0084, 
mergeSort2, Sorted, 60000, 0.0078000003, 
quickSort, Sorted, 60000, 0.0118, 
quickSort2, Sorted, 60000, 0.01, 
Array.sort, Sorted, 60000, 0.0038, 
selectionSort, Reversed, 60000, 15.503599, 
selectionSort2, Reversed, 60000, 15.5718, 
insertionSort, Reversed, 60000, 0.0098, 
insertionSort2, Reversed, 60000, 0.004, 
mergeSort, Reversed, 60000, 0.0082, 
mergeSort2, Reversed, 60000, 0.0082, 
quickSort, Reversed, 60000, 0.011399999, 
quickSort2, Reversed, 60000, 0.01, 
Array.sort, Reversed, 60000, 0.004, 
selectionSort, Unsorted, 70000, 17.5914, 
selectionSort2, Unsorted, 70000, 23.8272, 
insertionSort, Unsorted, 70000, 0.011600001, 
insertionSort2, Unsorted, 70000, 0.0038, 
mergeSort, Unsorted, 70000, 0.012399999, 
mergeSort2, Unsorted, 70000, 0.010199999, 
quickSort, Unsorted, 70000, 0.012399999, 
quickSort2, Unsorted, 70000, 0.0122, 
Array.sort, Unsorted, 70000, 0.0038, 
selectionSort, Sorted, 70000, 14.5758, 
selectionSort2, Sorted, 70000, 23.819199, 
insertionSort, Sorted, 70000, 0.011399999, 
insertionSort2, Sorted, 70000, 0.0052, 
mergeSort, Sorted, 70000, 0.01, 
mergeSort2, Sorted, 70000, 0.0094, 
quickSort, Sorted, 70000, 0.0126, 
quickSort2, Sorted, 70000, 0.012, 
Array.sort, Sorted, 70000, 0.004, 
selectionSort, Reversed, 70000, 17.0192, 
selectionSort2, Reversed, 70000, 23.892801, 
insertionSort, Reversed, 70000, 0.012, 
insertionSort2, Reversed, 70000, 0.0038, 
mergeSort, Reversed, 70000, 0.01, 
mergeSort2, Reversed, 70000, 0.0108, 
quickSort, Reversed, 70000, 0.0132, 
quickSort2, Reversed, 70000, 0.012, 
Array.sort, Reversed, 70000, 0.004, 
selectionSort, Unsorted, 80000, 16.3082, 
selectionSort2, Unsorted, 80000, 17.4954, 
insertionSort, Unsorted, 80000, 0.0146, 
insertionSort2, Unsorted, 80000, 0.0048, 
mergeSort, Unsorted, 80000, 0.011399999, 
mergeSort2, Unsorted, 80000, 0.011600001, 
quickSort, Unsorted, 80000, 0.0154, 
quickSort2, Unsorted, 80000, 0.0134, 
Array.sort, Unsorted, 80000, 0.0046, 
