SortType, ArrayType, ArraySIze, AverageTime 
Arrays.sort, unsorted, 4096, 0.0, 
selection, sorted, 4096, 0.192, 
insertion, sorted, 4096, 0.0, 
quick, sorted, 4096, 0.003, 
merge, sorted, 4096, 0.002, 
Arrays.sort, sorted, 4096, 0.0, 
selection, reversed, 4096, 0.176, 
insertion, reversed, 4096, 0.099, 
quick, reversed, 4096, 0.004, 
merge, reversed, 4096, 0.003, 
Arrays.sort, reversed, 4096, 0.0, 
selection, unsorted, 8192, 0.508, 
insertion, unsorted, 8192, 0.256, 
quick, unsorted, 8192, 0.011999999, 
merge, unsorted, 8192, 0.011, 
Arrays.sort, unsorted, 8192, 0.0, 
selection, sorted, 8192, 0.463, 
insertion, sorted, 8192, 0.002, 
quick, sorted, 8192, 0.006, 
merge, sorted, 8192, 0.0050000004, 
Arrays.sort, sorted, 8192, 0.0, 
selection, reversed, 8192, 0.762, 
insertion, reversed, 8192, 0.422, 
quick, reversed, 8192, 0.004, 
merge, reversed, 8192, 0.006, 
Arrays.sort, reversed, 8192, 0.0, 
selection, unsorted, 16384, 1.67, 
insertion, unsorted, 16384, 0.866, 
quick, unsorted, 16384, 0.029, 
merge, unsorted, 16384, 0.013, 
Arrays.sort, unsorted, 16384, 0.0, 
selection, sorted, 16384, 1.77, 
insertion, sorted, 16384, 0.002, 
quick, sorted, 16384, 0.0069999998, 
merge, sorted, 16384, 0.009, 
Arrays.sort, sorted, 16384, 0.0, 
selection, reversed, 16384, 2.675, 
insertion, reversed, 16384, 0.96000004, 
quick, reversed, 16384, 0.009, 
merge, reversed, 16384, 0.007, 
Arrays.sort, reversed, 16384, 0.0, 
selection, unsorted, 32768, 7.211, 
insertion, unsorted, 32768, 3.748, 
quick, unsorted, 32768, 0.06, 
merge, unsorted, 32768, 0.041, 
Arrays.sort, unsorted, 32768, 0.0, 
selection, sorted, 32768, 9.1, 
insertion, sorted, 32768, 0.006, 
quick, sorted, 32768, 0.032, 
merge, sorted, 32768, 0.021, 
Arrays.sort, sorted, 32768, 0.0, 
selection, reversed, 32768, 20.265, 
insertion, reversed, 32768, 8.938, 
quick, reversed, 32768, 0.02, 
merge, reversed, 32768, 0.017, 
Arrays.sort, reversed, 32768, 0.0, 
selection, unsorted, 65536, 52.738003, 
insertion, unsorted, 65536, 33.701, 
quick, unsorted, 65536, 0.09, 
merge, unsorted, 65536, 0.069, 
Arrays.sort, unsorted, 65536, 0.0, 
